asin,collection,size,color,sales,prior_sales,sales_delta,sessions,prior_sessions,units,prior_units,conversion,prior_conversion,conversion_change_pp,qualified
B00SU0QSZ8,1800 Bed Sheets,King,Light Gray,19882.040000000005,4676.85,15205.190000000004,16835,1926,570,109,0.033858033858033855,0.05659397715472482,-0.022735943296690965,True
B08RZCYC5X,1800 Bed Sheets,King,Golden Ivory,18250.339999999997,2964.0700000000006,15286.269999999997,9174,1681,522,71,0.05689993459777633,0.042236763831052945,0.014663170766723382,True
B08RZBVSZR,1800 Bed Sheets,Queen,Blush Pink,18063.11,3477.39,14585.720000000001,11043,1640,563,87,0.05098252286516345,0.05304878048780488,-0.0020662576226414264,True
B08RZFVS95,1800 Bed Sheets,Queen,Sage,17343.680000000004,3872.2900000000004,13471.390000000003,9544,1504,547,97,0.05731349538977368,0.06449468085106383,-0.0071811854612901516,True
B01DN0AW8I,1800 Bed Sheets,King,Spa Mint,16324.93,2578.2,13746.73,10031,1131,469,60,0.04675505931612003,0.05305039787798409,-0.00629533856186406,True
B01DN0AJXQ,1800 Bed Sheets,Queen,Blue Hydrangea,14796.59,3652.44,11144.15,9269,1506,458,92,0.04941201855647859,0.06108897742363878,-0.011676958867160192,True
B08RZDH679,1800 Bed Sheets,King,Sage,13590.47,2620.31,10970.16,5578,983,390,61,0.06991753316600932,0.06205493387589013,0.00786259929011919,True
B00NLLUP4G,1800 Bed Sheets,Queen,Gray,13588.480000000001,3215.2400000000002,10373.240000000002,7351,1457,425,83,0.05781526322949258,0.05696636925188744,0.000848893977605146,True
B01DN0AQN4,1800 Bed Sheets,King,Blue Hydrangea,13446.02,2360.7699999999995,11085.25,5487,898,384,56,0.06998359759431383,0.062360801781737196,0.007622795812576633,True
B00NLLUNSE,1800 Bed Sheets,Queen,Beige,13294.96,3347.08,9947.88,4686,1054,409,84,0.08728126333760136,0.07969639468690702,0.00758486865069434,True
B0CNRZBCFQ,1800 Bed Sheets,Queen,Sky Blue,13180.46,2796.2999999999997,10384.16,8949,1253,408,70,0.045591686221924235,0.055865921787709494,-0.010274235565785259,True
B0822X9LJN,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Light Gray,12653.19,1611.0700000000002,11042.12,3846,471,297,31,0.07722308892355695,0.06581740976645435,0.011405679157102597,True
B01DN0AOW2,1800 Bed Sheets,Queen,Spa Mint,12466.49,2036.87,10429.619999999999,12691,1717,387,53,0.030494050902214166,0.030867792661619105,-0.0003737417594049386,True
B0DGQSDWFD,1800 Bed Sheets,Queen,Mineral Gray,12212.54,2037.6699999999998,10174.87,9449,1246,382,51,0.04042755847179596,0.040930979133226325,-0.0005034206614303663,True
B0822XQ9DZ,1800 Bed Sheet Set With DEEP Fitted Sheet,California King,White,11764.81,2232.63,9532.18,7610,724,275,43,0.03613666228646518,0.05939226519337017,-0.02325560290690499,True
B07BKP98B7,1800 Bed Sheets,King,Spa Blue,10938.52,1503.95,9434.57,5195,818,316,35,0.06082771896053898,0.042787286063569685,0.018040432896969293,True
B0822W82LP,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Blue Hydrangea,10865.259999999998,1504.63,9360.629999999997,3299,401,256,29,0.07759927250682025,0.07231920199501247,0.0052800705118077745,True
B00NQDGBTC,1800 Bed Sheets,King,Beige,10651.849999999999,2190.61,8461.239999999998,2432,570,305,51,0.12541118421052633,0.08947368421052632,0.03593750000000001,True
B07BKMXCYF,1800 Bed Sheets,Queen,Spa Blue,10534.5,1677.94,8856.56,7506,1188,331,43,0.0440980548894218,0.0361952861952862,0.0079027686941356,True
B00O35DNS4,1800 Bed Sheets,California King,White,10296.570000000002,2153.16,8143.410000000002,4487,632,281,48,0.06262536215734343,0.0759493670886076,-0.013324004931264163,True
B00NQDGCW8,1800 Bed Sheets,King,Gray,10277.699999999999,1845.1299999999999,8432.57,3895,799,295,43,0.07573812580231065,0.05381727158948686,0.02192085421282379,True
B0BMW9MMY9,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Golden Ivory,10080.890000000001,1766.98,8313.910000000002,4170,535,236,34,0.056594724220623505,0.06355140186915888,-0.006956677648535373,True
B0CNRZ4Y1C,1800 Bed Sheets,Queen,Blue Nova,9782.880000000001,1078.39,8704.490000000002,4670,651,304,27,0.06509635974304069,0.041474654377880185,0.023621705365160506,True
B0822XGGJ6,1800 Bed Sheet Set With DEEP Fitted Sheet,Queen,Light Gray,9752.83,1449.1299999999999,8303.7,3824,438,240,29,0.06276150627615062,0.06621004566210045,-0.003448539385949828,True
B0822WT3R6,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Gray,9280.63,1247.28,8033.349999999999,2284,312,219,24,0.09588441330998249,0.07692307692307693,0.01896133638690556,True
B00NLNDP1Y,1800 Bed Sheets,Queen,Aqua,9166.62,1869.79,7296.830000000001,7799,1167,286,47,0.036671368124118475,0.04027420736932305,-0.0036028392452045754,True
B08CZZ4SYJ,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Spa Mint,9098.26,1088.87,8009.39,4887,512,214,21,0.04378964599959075,0.041015625,0.0027740209995907525,True
B0822WWZJQ,1800 Bed Sheet Set With DEEP Fitted Sheet,Twin XL,White,8704.8,1393.17,7311.629999999999,3070,394,244,31,0.07947882736156352,0.07868020304568528,0.000798624315878238,True
B0BTZ5HGMB,1800 Bed Sheet Set 6 PIECE,Queen,White,8367.15,3480.73,4886.42,2405,574,242,87,0.10062370062370063,0.15156794425087108,-0.050944243627170455,True
B0822WXPVG,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Spa Blue,8168.64,1247.28,6921.360000000001,2976,368,193,24,0.0648521505376344,0.06521739130434782,-0.00036524076671341776,True
