asin,collection,size,color,sales,prior_sales,sessions,prior_sessions,units,prior_units,conversion,prior_conversion,conversion_change_pp,sales_delta,sales_wow
B0CNRYVY46,1800 Pillowcase Set 2 pc,Set of 2 Standard Size,Sky Blue,179.7,143.76,35,41,10,8,0.2857142857142857,0.1951219512195122,0.0905923344947735,35.94,0.25
B0CYCPFWQL,1800 Bed Sheet Set 6 PC With DEEP Fitted Sheet,King,Blue Hydrangea,176.91,176.91,23,17,3,3,0.13043478260869565,0.17647058823529413,-0.04603580562659848,0.0,0.0
B0CYCRZYN3,1800 Bed Sheet Set 6 PC With DEEP Fitted Sheet,King,Sage,176.91,58.97,26,17,3,1,0.11538461538461539,0.058823529411764705,0.056561085972850686,117.94,2.0
B0CYCSC4DD,1800 Bed Sheet Set 6 PC With DEEP Fitted Sheet,King,Emerald Green,176.91,0.0,15,15,3,0,0.2,0.0,0.2,176.91,
B0BTZ59997,1800 Bed Sheet Set 6 PIECE,Queen,Blue Hydrangea,175.0,87.94,38,43,4,2,0.10526315789473684,0.046511627906976744,0.05875152998776009,87.06,0.9899931771662498
B01DN0A2F6,1800 Bed Sheets,Twin,Yellow,174.85,34.97,65,58,5,1,0.07692307692307693,0.017241379310344827,0.0596816976127321,139.88,4.0
B08RZCL98X,1800 Bed Sheets,Twin XL,Blush Pink,174.85,0.0,78,0,5,0,0.0641025641025641,,,174.85,
B08V8T4J6N,1800 Bed Sheets,RV / Short Queen,Beige,174.85,348.65,53,64,5,10,0.09433962264150944,0.15625,-0.06191037735849056,-173.79999999999998,-0.49849419188297717
B0CNRX7KCV,1800 Bed Sheets,Twin,Hazy Lilac,174.85,174.85,66,55,5,5,0.07575757575757576,0.09090909090909091,-0.015151515151515152,0.0,0.0
B08V8V7VZF,1800 Bed Sheets,RV / Short Queen,White,174.85,524.55,374,376,5,15,0.013368983957219251,0.0398936170212766,-0.02652463306405735,-349.69999999999993,-0.6666666666666666
B0CNWG3MCK,1800 Pillowcase Set 2 pc,Set of 2 Standard Size,Ivory,161.73,143.76,46,49,11,8,0.2391304347826087,0.16326530612244897,0.07586512866015974,17.97,0.125
B00RKHX6VQ,1800 Pillowcase Set 2 pc,Set of 2 King Size,Gray,161.73,125.42999999999999,31,33,9,7,0.2903225806451613,0.21212121212121213,0.07820136852394918,36.3,0.2894044486964841
B0822XW5PF,1800 Bedskirt,King,Spa Blue,160.79,68.91,48,62,7,4,0.14583333333333334,0.06451612903225806,0.08131720430107528,91.88,1.3333333333333333
B0822ZK6VY,1800 Bedskirt,King,Blue Hydrangea,160.79,160.79,83,97,7,7,0.08433734939759036,0.07216494845360824,0.012172400943982115,0.0,0.0
B0CLYBZB3P,1800 Bed Sheets,Queen,Taupe,159.88,279.78999999999996,156,145,4,7,0.02564102564102564,0.04827586206896552,-0.022634836427939876,-119.90999999999997,-0.4285714285714285
B0DGQPSBKY,1800 Bed Sheets,Queen,Charcoal,159.88,675.49,116,116,4,17,0.034482758620689655,0.14655172413793102,-0.11206896551724137,-515.61,-0.7633125582910184
B0822Y8J89,1800 Bedskirt,Twin XL,Beige,159.76,19.97,63,31,8,1,0.12698412698412698,0.03225806451612903,0.09472606246799795,139.79,7.0
B0BTZ5SZVY,1800 Bed Sheet Set 6 PIECE,King,Sage,158.91,264.85,54,52,3,5,0.05555555555555555,0.09615384615384616,-0.04059829059829061,-105.94000000000003,-0.4000000000000001
B0BTZ6RFZL,1800 Bed Sheet Set 6 PIECE,King,Navy Blue,158.91,105.94,27,20,3,2,0.1111111111111111,0.1,0.0111111111111111,52.97,0.5
B0822XMHH5,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Brick Red,155.91,155.91,105,104,3,3,0.02857142857142857,0.028846153846153848,-0.0002747252747252772,0.0,0.0
B08BZXLGBQ,1800 Bed Sheet Set With DEEP Fitted Sheet,California King,Aqua,155.91,207.88,59,46,3,4,0.05084745762711865,0.08695652173913043,-0.036109064112011785,-51.97,-0.25
B0BMW9JMXG,1800 Bed Sheet Set With DEEP Fitted Sheet,California King,Laced Sky Blue,155.91,51.97,70,59,3,1,0.04285714285714286,0.01694915254237288,0.025907990314769976,103.94,2.0
B0822W883H,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Royal Blue,155.91,207.88,79,82,3,4,0.0379746835443038,0.04878048780487805,-0.010805804260574252,-51.97,-0.25
B08CZYQC9Y,1800 Bed Sheet Set With DEEP Fitted Sheet,California King,Purple,155.91,51.97,23,22,3,1,0.13043478260869565,0.045454545454545456,0.08498023715415019,103.94,2.0
B08BZY1R1R,1800 Bed Sheet Set With DEEP Fitted Sheet,King,Lavender,155.91,259.85,157,126,4,5,0.025477707006369428,0.03968253968253968,-0.014204832676170252,-103.94000000000003,-0.4000000000000001
B0822WNDSS,"1800 Fitted Sheet 21"" Deep",King,Light Gray,155.82,25.97,27,24,6,1,0.2222222222222222,0.041666666666666664,0.18055555555555555,129.85,5.0
B01CYLCJMY,1800 Bed Sheets,Full,Paisley Gray,151.88,227.82,873,833,4,6,0.004581901489117984,0.007202881152460984,-0.002620979663343,-75.94,-0.3333333333333333
B0CNRYQDF7,1800 Bed Sheets,Full,Hazy Lilac,151.88,341.73,170,162,4,9,0.023529411764705882,0.05555555555555555,-0.03202614379084967,-189.85000000000002,-0.5555555555555556
B00O35DMNU,1800 Bed Sheets,Full,Brick Red,151.88,37.97,57,52,4,1,0.07017543859649122,0.019230769230769232,0.05094466936572199,113.91,3.0
B0CNRYWWWY,1800 Bed Sheets,Full,Terracotta,151.88,189.85,149,114,4,5,0.026845637583892617,0.043859649122807015,-0.017014011538914398,-37.97,-0.2
B01ES3MHXC,1800 Fitted Sheet,Twin XL,White,151.76,189.7,46,41,8,10,0.17391304347826086,0.24390243902439024,-0.06998939554612937,-37.94,-0.2
B0BMBFH19B,1800 Pillowcase Set 2 pc,Set of 12 Standard Size,White,149.91,0.0,98,24,3,0,0.030612244897959183,0.0,0.030612244897959183,149.91,
B0CYCNYNXF,1800 Bed Sheet Set 6 PC With DEEP Fitted Sheet,Queen,Tan,149.91,149.91,28,24,4,3,0.14285714285714285,0.125,0.01785714285714285,0.0,0.0
B08BZVYQ99,1800 Bed Sheet Set With DEEP Fitted Sheet,Split King,Emerald Green,149.91,0.0,24,21,3,0,0.125,0.0,0.125,149.91,
B08BZWGHRB,1800 Bed Sheet Set With DEEP Fitted Sheet,Split King,Tan,149.91,49.97,54,39,3,1,0.05555555555555555,0.02564102564102564,0.029914529914529912,99.94,2.0
B0822WFM2M,1800 Bed Sheet Set With DEEP Fitted Sheet,Split King,Gray,149.91,49.97,24,19,3,1,0.125,0.05263157894736842,0.07236842105263158,99.94,2.0
B08TRP6QMS,1800 Pillowcase Set 2 pc,Set of 2 Standard Size,Blush Pink,143.76,107.82,51,40,8,6,0.1568627450980392,0.15,0.006862745098039219,35.94,0.3333333333333333
B08TRPW85X,1800 Pillowcase Set 2 pc,Set of 2 Standard Size,Teal,143.76,125.78999999999999,36,30,8,7,0.2222222222222222,0.23333333333333334,-0.011111111111111127,17.97,0.14285714285714285
B00RKHWU2W,1800 Pillowcase Set 2 pc,Set of 2 Standard Size,Aqua,143.76,215.64,24,23,8,12,0.3333333333333333,0.5217391304347826,-0.18840579710144928,-71.88,-0.3333333333333333
B01MR5KTCB,1800 Bed Sheets,Split King,Beige,140.91,46.97,58,50,3,2,0.05172413793103448,0.04,0.011724137931034481,93.94,2.0
B0CLYD3B2D,1800 Bed Sheets,Split King,Ivory,140.91,187.88,117,109,3,4,0.02564102564102564,0.03669724770642202,-0.01105622206539638,-46.97,-0.25
