keyword,tracked_asins,tracked_asin_count,current_position,prior_position,rank_movement,search_query_volume,total_purchases,brand_purchases,est_total_keyword_sales,est_brand_keyword_sales,prior_est_total_keyword_sales,total_sales_wow,total_clicks,brand_clicks,brand_ctr,brand_purchase_per_click
full size white sheets,,0,,,,308,38,2,532.0,71.94,330.97,0.6073964407650239,144,2,0.00021965952773201537,1.0
king sheets sets,,0,,,,1013,28,0,531.7199999999999,,712.38,-0.25360060641792315,438,8,0.00028730472257137724,0.0
king sheet sets,,0,,,,1143,22,0,522.0600000000001,,535.29,-0.024715574735190093,531,6,0.0001752950800514199,0.0
regalos de cumpleaños para hombres,,0,,,,4340,37,0,516.89,,,,1023,2,1.9450711896055396e-05,0.0
white sheets twin,,0,,,,555,36,1,512.64,34.97,527.68,-0.028502122498483863,257,4,0.0002574168221893301,0.25
linen sheet,,0,,,,236,8,1,511.84,36.23,664.895,-0.23019424119597834,102,1,0.00011170688114387846,1.0
beige sheets queen,,0,,,,597,30,0,511.2,,606.4,-0.15699208443271767,315,2,0.00013281094362175444,0.0
blue sheets,,0,,,,2619,24,0,509.52,,,,1049,7,9.388663859009094e-05,0.0
rv short queen sheets,,0,,,,458,20,0,509.20000000000005,,484.30999999999995,0.05139270302079268,215,0,0.0,
full size bed sheets set,,0,,,,1135,27,0,508.95000000000005,,366.29999999999995,0.38943488943488974,394,1,3.323252799840484e-05,0.0
striped sheets,,0,,,,8755,17,0,505.58,,573.04,-0.11772302108055281,4421,16,6.857093877900872e-05,0.0
cotton bed sheets full,,0,,,,1308,15,0,504.75,,269.64,0.8719403649310192,548,2,4.879953152449737e-05,0.0
percale cotton sheets,,0,,,,2235,14,0,503.86,,,,1200,7,0.00010784494977506625,0.0
full size mattress sheets,,0,,,,705,29,2,492.71,71.94,376.51000000000005,0.30862394093118356,269,4,0.00019773592367393347,0.5
king bed sheet,,0,,,,967,29,1,491.84000000000003,40.97,588.6899999999999,-0.16451782771917295,388,1,3.7637848620572846e-05,1.0
burgundy sheets queen,,0,,,,464,22,0,483.78,,,,225,2,0.0001668613382279326,0.0
white twin sheet set,,0,,,,338,40,1,479.6,34.97,443.84,0.08056957462148533,185,3,0.0003176956475696283,0.3333333333333333
dorm sheets twin xl set,,0,,,,538,20,1,475.79999999999995,34.97,419.79999999999995,0.13339685564554551,236,4,0.00026128421190149584,0.25
100 percent cotton sheets,,0,,,,2979,13,0,467.87,,685.7800000000001,-0.3177549651491733,1435,8,9.756692481248856e-05,0.0
white full size sheets,,0,,,,301,33,1,462.0,35.97,503.65000000000003,-0.08269631688672696,130,6,0.0006635700066357001,0.16666666666666666
sheets for king size bed,,0,,,,433,11,1,461.78,49.97,395.89000000000004,0.1664351208669073,128,7,0.0005301825342725138,0.14285714285714285
white hotel sheets,,0,,,,119,3,0,458.97,,,,63,5,0.0017164435290078957,0.0
cotton sheet set,,0,,,,1884,15,0,458.85,,559.86,-0.18042010502625655,909,3,4.973474801061008e-05,0.0
fitted sheets,,0,,,,2415,27,0,458.72999999999996,,285.78000000000003,0.6051858072643289,891,1,1.2405870457900679e-05,0.0
taupe king sheets,,0,,,,207,11,1,455.29,42.97,,,141,4,0.0007902015013828526,0.25
deep king sheets for thick mattress,,0,,,,815,15,0,449.84999999999997,,,,400,0,0.0,
hotel collection sheets,,0,,,,1176,15,0,449.84999999999997,,239.89999999999998,0.8751563151313048,464,15,0.00043831453450996437,0.0
full size cooling sheets,,0,,,,904,20,1,449.79999999999995,35.97,265.07,0.696910250122609,483,4,0.00017611059745520187,0.25
striped sheets queen,,0,,,,1763,13,0,441.87,,252.27,0.7515756927101914,950,4,9.243852837862822e-05,0.0
brown king sheets,,0,,,,618,21,0,438.69,,,,296,2,0.0001361285053090117,0.0
sheets twin,,0,,,,1606,37,0,438.45,,584.0,-0.24922945205479455,633,1,2.2460805893715468e-05,0.0
king white sheet set,,0,,,,178,23,1,434.47,40.97,319.04,0.3618041624874624,94,10,0.0019138755980861245,0.1
bed sheets king,,0,,,,1109,17,0,433.33,,399.84,0.08375850340136057,389,4,0.00011439029970258523,0.0
